ID,Sector,Category
SPH02599,202,Economy
SPH02600,202,Economy
SPH02601,202,Economy
SPH02602,202,Economy
SPH02603,202,Economy
SPH02604,202,Economy
SPH02605,202,Economy
SPH02606,202,Economy
SPH02607,202,Economy
SPH02608,202,Economy
SPH02609,202,Economy
SPH02610,202,Economy
SPH02611,202,Economy
SPH02612,202,Economy
SPH02613,202,Economy
SPH02614,202,Economy
SPH02615,202,Economy
SPH02616,202,Economy
SPH02617,202,Economy
SPH02618,202,Economy
SPH02619,202,Economy
SPH02620,202,Economy
SPH02621,202,Economy
SPH02622,202,Economy
SPH02623,202,Economy
SPH02624,202,Economy
SPH02625,202,Economy
SPH02626,202,Economy
SPH02627,202,Economy
SPH02628,202,Economy
SPH02629,202,Economy
SPH02630,202,Economy
SPH02631,202,Economy
SPH02632,202,Economy
SPH02633,202,Economy
SPH02634,202,Economy
SPH02635,202,Economy
SPH02636,202,Economy
SPH02637,202,Economy
SPH02638,202,Economy
SPH02639,202,Economy
SPH02640,202,Economy
SPH02641,202,Economy
SPH02642,202,Economy
SPH02643,202,Economy
SPH02644,202,Economy
SPH02645,202,Economy
SPH02646,202,Economy
SPH02647,202,Economy
SPH02648,202,Economy
SPH02649,202,Economy
SPH02650,202,Economy
SPH02651,202,Economy
SPH02652,202,Economy
SPH02653,202,Economy
SPH02654,202,Economy
SPH02655,202,Economy
SPH02656,202,Economy
SPH02657,202,Economy
SPH02658,202,Economy
SPH02659,202,Economy
SPH02660,202,Economy
SPH02661,202,Economy
SPH02662,202,Economy
SPH02663,202,Economy
SPH02664,202,Economy
SPH02665,202,Economy
SPH02666,202,Economy
SPH02667,202,Economy
SPH02668,202,Economy
SPH02669,202,Economy
SPH02670,202,Economy
SPH02671,202,Economy
SPH02672,202,Economy
SPH02673,202,Economy
SPH02674,202,Economy
SPH02675,202,Economy
SPH02676,202,Economy
SPH02677,202,Economy
SPH02678,202,Economy
SPH02679,202,Economy
SPH02680,202,Economy
SPH02681,202,Economy
SPH02682,202,Economy
SPH02683,202,Economy
SPH02684,202,Economy
SPH02685,202,Economy
SPH02686,202,Economy
SPH02687,202,Economy
SPH02688,202,Economy
SPH02689,202,Economy
SPH02690,202,Economy
SPH02691,202,Economy
SPH02692,202,Economy
SPH02693,202,Economy
SPH02694,202,Economy
SPH02695,202,Economy
SPH02696,202,Economy
SPH02697,202,Economy
SPH02698,202,Economy
SPH02699,202,Economy
SPH02700,202,Economy
SPH02701,202,Economy
SPH02702,202,Economy
SPH02703,202,Economy
SPH02704,202,Economy
SPH02705,202,Economy
SPH02706,202,Economy
SPH02707,202,Economy
SPH02708,202,Economy
SPH02709,202,Economy
SPH02710,202,Economy
SPH02711,202,Economy
SPH02712,202,Economy
SPH02713,202,Economy
SPH02714,202,Economy
SPH02715,202,Economy
SPH02716,202,Economy
SPH02717,202,Economy
SPH02718,202,Economy
SPH02719,202,Economy
SPH02720,202,Economy
SPH02721,202,Economy
SPH02722,202,Economy
SPH02723,202,Economy
SPH02724,202,Economy
SPH02725,202,Economy
SPH02726,202,Economy
SPH02727,202,Economy
SPH02728,202,Economy
SPH02729,202,Economy
SPH02730,202,Economy
SPH02731,202,Economy
SPH02732,202,Economy
SPH02733,202,Economy
SPH02734,202,Economy
SPH02735,202,Economy
SPH02736,202,Economy
SPH02737,202,Economy
SPH02738,202,Economy
SPH02739,202,Economy
SPH02740,202,Economy
SPH02741,202,Economy
SPH02742,202,Economy
SPH02743,202,Economy
SPH02744,202,Economy
SPH02745,202,Economy
SPH02746,202,Economy
SPH02747,202,Economy
SPH02748,202,Economy
SPH02749,202,Economy
SPH02750,202,Economy
SPH02751,202,Economy
SPH02752,202,Economy
SPH02753,202,Economy
SPH02754,202,Economy
SPH02755,202,Economy
SPH02756,202,Economy
SPH02757,202,Economy
SPH02758,202,Economy
SPH02759,202,Economy
SPH02760,202,Economy
SPH02761,202,Economy
SPH02762,202,Economy
SPH02763,202,Economy
SPH02764,202,Economy
SPH02765,202,Economy
SPH02766,202,Economy
SPH02767,202,Economy
SPH02768,202,Economy
SPH02769,202,Economy
SPH02770,202,Economy
SPH02771,202,Economy
SPH02772,202,Economy
SPH02773,202,Economy
SPH02774,202,Economy
SPH02775,202,Economy
SPH02776,202,Economy
SPH02777,202,Economy
SPH02778,202,Economy
SPH02779,202,Economy
SPH02780,202,Economy
SPH02781,202,Economy
SPH02782,202,Economy
SPH02783,202,Economy
SPH02784,202,Economy
SPH02785,202,Economy
SPH02786,202,Economy
SPH02787,202,Economy
SPH02788,202,Economy
SPH02789,202,Economy
SPH02790,202,Economy
SPH02791,202,Economy
SPH02792,202,Economy
SPH02793,202,Economy
SPH02794,202,Economy
SPH02795,202,Economy
SPH02796,202,Economy
SPH02797,202,Economy
SPH02798,202,Economy
SPH02799,202,Economy
SPH02800,202,Economy
SPH02801,202,Economy
SPH02802,202,Economy
SPH02803,202,Economy
SPH02804,202,Economy
SPH02805,202,Economy
SPH02806,202,Economy
SPH02807,202,Economy
SPH02808,202,Economy
SPH02809,202,Economy
SPH02810,202,Economy
SPH02811,202,Economy
SPH02812,202,Economy
SPH02813,202,Economy
SPH02814,202,Economy
SPH02815,202,Economy
SPH02816,202,Economy
SPH02817,202,Economy
SPH02818,202,Economy
SPH02819,202,Economy
SPH02820,202,Economy
SPH02821,202,Economy
SPH02822,202,Economy
SPH02823,202,Economy
SPH02824,202,Economy
SPH02825,202,Economy
SPH02826,202,Economy
SPH02827,202,Economy
SPH02828,202,Economy
SPH02829,202,Economy
SPH02830,202,Economy
SPH02831,202,Economy
SPH02832,202,Economy
SPH02833,202,Economy
SPH02834,202,Economy
SPH02835,202,Economy
SPH02836,202,Economy
SPH02837,202,Economy
SPH02838,202,Economy
SPH02839,202,Economy
SPH02840,202,Economy
SPH02841,202,Economy
SPH02842,202,Economy
SPH02843,202,Economy
SPH02844,202,Economy
SPH02845,202,Economy
SPH02846,202,Economy
SPH02847,202,Economy
SPH02848,202,Economy
SPH02849,202,Economy
SPH02850,202,Economy
SPH02851,202,Economy
SPH02852,202,Economy
SPH02853,202,Economy
SPH02854,202,Economy
SPH02855,202,Economy
SPH02856,202,Economy
SPH02857,202,Economy
SPH02858,202,Economy
SPH02859,202,Economy
SPH02860,202,Economy
SPH02861,202,Economy
SPH02862,202,Economy
SPH02863,202,Economy
SPH02864,202,Economy
SPH02865,202,Economy
SPH02866,202,Economy
SPH02867,202,Economy
SPH02868,202,Economy
SPH02869,202,Economy
SPH02870,202,Economy
SPH02871,202,Economy
SPH02872,202,Economy
SPH02873,202,Economy
SPH02874,202,Economy
SPH02875,202,Economy
SPH02876,202,Economy
SPH02877,202,Economy
SPH02878,202,Economy
SPH02879,202,Economy
SPH02880,202,Economy
SPH02881,202,Economy
SPH02882,202,Economy
